Cluster Name,RA,Dec,Redshift,Redshift Error
Abell 1285,172.58172,-14.58079,0.105,0.003
Abell 2457,338.93833,1.47592,0.058734,0.000223
Abell 3822,328.53833,-57.85528,0.075786,0.000357
Abell 1307,173.19967,14.52378,0.0832,-999.0
Abell 2597,351.33213,-12.12417,0.0822,0.0002
Abell 3827,330.4727,-59.9473,0.0976,0.005
Abell 1644,194.29,-17.41,0.047099,0.000203
Abell 2811,10.53649,-28.53559,0.1075,0.0005
Abell 3911,341.57227,-52.73147,0.0965,-999.0
Abell 1650,194.67121,-1.7569,0.083838,0.000183
Abell 2837,13.19985,-80.26811,0.1142,-999.0
Abell 3921,342.4875,-64.42944,0.092771,0.000257
Abell 1651,194.83958,-4.19472,0.084945,0.00019
Abell 3112,49.49036,-44.23863,0.075185,0.000347
Abell 1750,202.70792,-1.8728,0.085439,0.000307
Abell 3158,55.74395,-53.6311,0.059278,0.00023
Abell 4010,352.80292,-36.50667,0.0962,0.0002
Abell 1837,210.40292,-11.12444,0.069962,0.000387
Abell 3266,67.85042,-61.44389,0.0596,0.0002
Abell 754,137.285,-9.66611,0.054618,0.000167
Abell 2029,227.72917,5.72,0.07872,0.00026
Abell 3558,201.98667,-31.49556,0.048367,0.00013
Abell 780,139.52333,-12.09556,0.054414,0.000237
Abell 2055,229.69,6.23119,0.101964,0.000337
Abell 3571,206.87192,-32.8604,0.039027,0.000337
Abell 85,10.45879,-9.3019,0.055445,0.000207
Abell 208,22.92667,0.56194,0.079151,0.000254
Abell 3667,303.11371,-56.82678,0.055231,0.000254
Abell 2147,240.57816,16.01983,0.036619,0.00018
Abell 3694,308.67427,-34.07406,0.0936,-999.0
Abell 2420,332.5793,-12.17128,0.084849,0.002729
Abell 3695,308.69958,-35.81333,0.089,0.005
Abell 2426,333.63583,-10.37167,0.098802,0.002468
Abell 3814,327.2822,-30.7013,0.117728,0.000344
RXCJ1539.5-8335,234.84199,-83.59177,0.0728,-999.0
RXCJ1558.3-1410,239.5997,-14.16707,0.097,-999.0
