z_bin,score_bin,mean,std_error,sample_count
72-77 z,0.157800670785888,0.2294127372454879,0.0046090522510807514,428
72-77 z,0.5752528374647679,0.18589443370684106,0.0034415288147911735,340
72-77 z,1.1195459598636326,0.18625876553978293,0.003287300749634079,388
72-77 z,1.8439004207029694,0.15412159808326356,0.0029443309966509733,300
72-77 z,5.931887616561557,0.1295184187232076,0.002791234337293266,301
77-82 z,0.157800670785888,0.17788854974467244,0.004091051115778368,367
77-82 z,0.5752528374647679,0.1489796502789495,0.0030440435543864874,383
77-82 z,1.1195459598636326,0.1385200733422316,0.0030526687594922297,327
77-82 z,1.8439004207029694,0.1254178810844134,0.002574095602703637,337
77-82 z,5.931887616561557,0.09867072557338159,0.0018596121157785932,343
82-87 z,0.157800670785888,0.12478344378008176,0.0029512857368530444,356
82-87 z,0.5752528374647679,0.11196529530627695,0.002391891105769989,362
82-87 z,1.1195459598636326,0.09561862885415612,0.0020374225947240227,344
82-87 z,1.8439004207029694,0.08731670760327849,0.0022211529748889587,333
82-87 z,5.931887616561557,0.07236460368124767,0.0014567047325083282,365
87-93 z,0.157800670785888,0.07994548147471302,0.0019760635150397076,417
87-93 z,0.5752528374647679,0.07012172840686655,0.0015235029631989814,403
87-93 z,1.1195459598636326,0.065985488026866,0.0015482978103628765,418
87-93 z,1.8439004207029694,0.052357458405720016,0.0010602629102836995,433
87-93 z,5.931887616561557,0.04692499735063849,0.00094688862041965,432
93-100 z,0.157800670785888,0.03393373992129639,0.0009025077407586136,400
93-100 z,0.5752528374647679,0.03180626436796652,0.0007484708796096539,479
93-100 z,1.1195459598636326,0.028298567829297294,0.0007223288025320352,491
93-100 z,1.8439004207029694,0.02506272463801526,0.0005426208043313611,565
93-100 z,5.931887616561557,0.02160089832906128,0.00047335874929746013,526
